# name	prop	strategy	detail	sha256(script)
check-config	0	lemma-free		15d32599580fe4757d891bc6a1e09f0c9ee369069d3530b5d4805d7ad297be57
check-config	0	direct		5fcd47e907dfd25c3dc56903524980e7cfc5cd38b8e9a0279d89a9b2e5cbbfd3
check-config	0	induction	binder 0 ctor 0	fef3bb89d387ec1f2e37b077aaa6fe3255e3a125584d9dcf622b0872077e6e36
check-config	0	direct-fallback		5fcd47e907dfd25c3dc56903524980e7cfc5cd38b8e9a0279d89a9b2e5cbbfd3
check-config	1	lemma-free		4ab4da7da43cb0a12fc3e8bb5388f83842d76b76a4752b5e015dc2d84d4f7877
check-config	1	direct		350303235cb846df5becd01903ed2d8d7d888f081735011fe4c309595372523e
check-config	1	induction	binder 0 ctor 0	182dde483a0c840d443cf08f007f8d492d11ef368eb6b2f6814f3a9163193b82
check-config	1	induction	binder 1 ctor 0	26a1b2d7fe0a8c3aead04ce6e5ccccdd336bc40af1e8ea7ee9d20d1efea7a415
check-config	1	induction	binder 1 ctor 1	39ba7ed7a812f0f5d1e2bbe0d1b9ec4b95f2363222ea5140520f3d934c04b45d
check-config	1	lexicographic	binders 0,1 ctor 0 base	a69ec0356ba21b50f5817c2c9d0885158b91e58be59d05e3c3a73c78169c257e
check-config	1	lexicographic	binders 1,0 ctor 0 base	26a1b2d7fe0a8c3aead04ce6e5ccccdd336bc40af1e8ea7ee9d20d1efea7a415
check-config	1	lexicographic	binders 1,0 ctor 1,0	21635fb0200b24ff0f6b60aba901b64ff553d86fb4255c34a1f0e5e9cb99f8b1
check-config	1	direct-fallback		350303235cb846df5becd01903ed2d8d7d888f081735011fe4c309595372523e
circle	0	lemma-free		83ed40b139ed562a98600f0cc3662b8afcdd26c99f7b13d490ad56325d6f3e17
circle	0	direct		2f77ff2224824f3fdfeda880242be0b19b07c90089cfc4682626cddc9c8db6bf
circle	0	direct-fallback		2f77ff2224824f3fdfeda880242be0b19b07c90089cfc4682626cddc9c8db6bf
circle	1	lemma-free		2eed9293e930c5d4a3c32f8a77fc971ac01b0b04b2abc8f6185b7482bbbfa03c
circle	1	direct		f2d3815dce6e6306aa2059b2557a9bae03324d1d8551bafa7c4b211156c8e5f9
