# name	prop	sha256(direct-attempt script)
kv-put	0	089490ca7960dff1d95b7f42cc6f0a1f737c7ab4bdc0a05ad29c9d5000ce52fb
kv-put	1	bfab90ce8bc093a8fa0ca760337ddb8711f7bdf22d42550aec89f17892b05811
kv-put	2	d1522612c0db311e7b7e107bbb6905c7d696cbb136e386fe570d9888c6ed5400
last	0	9a635fd3ae04f7ea37d6e4c0affa221e0aafdf6024f079173f76466017809a06
last	1	316102884f9b41b2a4d0994c2eb27321833385771489f1334fe3dd0f453564ec
last	2	f9cdc3e8d3421b3ec21be5d3cb9050920da0b59af1a2d9757ce90a3f57e4bee7
length	0	0da6911afa6731470ce45e3731b8372fa4faa56a25688e36c5b445ec57d16be3
length	1	0874ef3aa8c2a9e8365781a3d3cfd5299963949f6913a1a023b25c3e0c635b67
length	2	59bf5950422d7beb5d29446e33223e56bbc511e4c8143675865a452bc619876f
lengths	0	d61b55e454ca39fcf7ae76987c62bff39476403e09eae794e112691d441d2f25
list-eq-by	0	c98ddd2d7401a0c070d14fddc0ef99778792f50293a53b375618d9dcdebacd0b
list-eq-by	1	cb0b38f60dd0f2254cfdd2499e6afa82e4f32f31d30e46ba06aa582394dac825
list-eq-by	2	1de0513d0b9f8f8dfe226af227c9576598462493196cd806d96ca8d30a579e38
list-eq-by	3	74dc5862271fb6b1e72128d8b7e9d83972dac850cb61c07f7bac33f16db1fe62
