name,hash,names,cls,killed,total,survived,waived,no_verdict
rat-mul,d09a0eb33a7bb8a49e87b6473b72159b0aa4042b9fd1468a178b48023a7cabd0,rat-mul,scored,1,1,0,0,0
rat-recover,c5647f27f6693b674191800dbb4d74deda6eb6569eb88fc4e012b7a071b333cf,rat-recover,scored,3,4,1,0,1
record-field,d7f4757624895cf6131ab1138c8e010d64f50f5ae1aa99fdd25698305e6b468e,record-field,scored,9,15,6,0,0
record-is-well-formed,68e180cd139d042d6242c74169d132be174eb336f9cc1ca96730fe0a84726c62,record-is-well-formed,scored,11,14,3,0,0
record-under,2bed447f1a3e248f31d2c01b306712292a75e147a1d08e146818e23ff835721b,record-under,scored,182,220,38,0,0
rename-key,be82b31a32c1e1ba3e9236525b1139d61068e3013101f6dea0ade0e07bb3bf9b,rename-key,no-mutation-points,,,,,
replicate,3fb40b27e9dc71b801b90b25a8dca147bc2e7e35ac9f7c6340972720c45377c4,replicate,scored,7,9,2,0,2
req-body,55607d7d56085cd9d4ea0ac3c627989656b8425eff0449bffa4f3b16ffdec769,req-body,no-mutation-points,,,,,
req-headers,11e9cdb9a695187157648934e6eb576d55dff98d64cac1c578938eb255123760,req-headers,no-mutation-points,,,,,
req-method,b0c4a59b92c4e2bc55ef68d8ebc612e36f8201a5f1088e415688f27e6f355e3a,req-method,no-mutation-points,,,,,
req-path,eadb605e522cbb0957d9a438631dab0b2539d2b01620c0a377965d0d5e3a438d,req-path,no-mutation-points,,,,,
req-received-at,ea71fc7b5412f4bd1c0bdf8b92c4eb5ec48a5fe497bd4cc83646064fd8c35449,req-received-at,no-mutation-points,,,,,
reverse,7bb6285884d068b0a885094b4b4090b80e85054cdb36ce805ad1918ab1a94365,reverse,scored,3,3,0,0,0
reverse-onto,cb57f3242430a32ad315d93ff649d100b94b322156d21d95f7c098c1fe314ac8,reverse-onto,scored,3,4,1,0,1
rle-decode,27a8605b1e122a7fd485d0044e4465033452ae30d0e4227a326b6948196e66e2,rle-decode,scored,2,2,0,0,0
rle-encode,253440f0e8996f21230b6ca3dfd820925263e771e7bc0b42c6d0eb1123f852e2,rle-encode,scored,14,14,0,0,0
rle-expand,36fb384d7458f4d0d17f40e02e61c319d0fc3836f9a6531b535b4551f381ea46,rle-expand,scored,8,10,2,0,2
rot,e715328a6ffacab7161a437148296e0e0b3e16b542fa039d736e39825e256d36,rot|rot-f,scored,18,22,4,0,2
rot-h2,48a856f52aced98b6415537382a05a36bb9b579099b95746e9554c521d61572e,rot-h2,scored,8,9,1,0,1
